type	latitude	longitude	name	desc
W	50.1313147	8.6623316		
W	50.1313164	8.6623262		
W	50.1302280	8.6623155		
W	50.1289006	8.6623798		
W	50.1288761	8.6623771		
W	50.1302263	8.6623503		
W	50.1301781	8.6630879		
W	50.1292204	8.6632784		
W	50.1294388	8.6653034		
W	50.1295901	8.6654295		
W	50.1297620	8.6665212		
W	50.1314608	8.6658292		
W	50.1303329	8.6662932		
W	50.1303948	8.6671461		
W	50.1293287	8.6675189		
W	50.1291998	8.6667491		
W	50.1297569	8.6665292		
W	50.1314549	8.6658515		
W	50.1315168	8.6684103		
W	50.1309047	8.6685605		
W	50.1292368	8.6697729		
W	50.1290030	8.6682440		
W	50.1293754	8.6680793		
W	50.1293758	8.6680796		
W	50.1293758	8.6680801		
W	50.1293754	8.6680803		
W	50.1293752	8.6680803		
W	50.1289922	8.6682464		
W	50.1287687	8.6669214		
W	50.1291951	8.6667444		
W	50.1287618	8.6669214		
W	50.1286002	8.6658378		
W	50.1294062	8.6654824		
W	50.1294337	8.6652974		
W	50.1291710	8.6642922		
W	50.1292690	8.6650244		
W	50.1291452	8.6651022		
W	50.1292071	8.6655555		
W	50.1291418	8.6651103		
W	50.1285176	8.6653356		
W	50.1285950	8.6658398		
W	50.1291117	8.6632381		
W	50.1287600	8.6636565		
W	50.1283396	8.6639086		
W	50.1278496	8.6642386		
W	50.1273251	8.6644236		
W	50.1266339	8.6645242		
W	50.1259426	8.6645282		
W	50.1258188	8.6636967		
W	50.1272263	8.6633193		
W	50.1279051	8.6631380		
W	50.1258004	8.6636825		
W	50.1252385	8.6638823		
W	50.1246800	8.6641278		
W	50.1235733	8.6646509		
W	50.1235830	8.6647419		
W	50.1285104	8.6653382		
W	50.1282466	8.6654203		
W	50.1280856	8.6654704		
W	50.1278252	8.6655541		
W	50.1271434	8.6658075		
W	50.1271924	8.6660436		
W	50.1272496	8.6661817		
W	50.1273343	8.6662769		
W	50.1275285	8.6662068		
W	50.1279347	8.6660590		
W	50.1279533	8.6660516		
W	50.1282663	8.6659296		
W	50.1284172	8.6658917		
W	50.1285861	8.6658478		
W	50.1292327	8.6697704		
W	50.1283136	8.6704941		
W	50.1277815	8.6709130		
W	50.1274703	8.6688022		
W	50.1275270	8.6687297		
W	50.1276977	8.6686707		
W	50.1283648	8.6684357		
W	50.1289851	8.6682163		
W	50.1278741	8.6696585		
W	50.1276179	8.6697470		
W	50.1279085	8.6699080		
W	50.1276540	8.6699992		
W	50.1276965	8.6686712		
W	50.1277137	8.6686592		
W	50.1277121	8.6686562		
W	50.1273819	8.6679696		
W	50.1275487	8.6673258		
W	50.1280783	8.6671461		
W	50.1280835	8.6671454		
W	50.1270923	8.6674906		
W	50.1271508	8.6677119		
W	50.1272660	8.6678661		
W	50.1273726	8.6679653		
W	50.1272970	8.6679036		
W	50.1271895	8.6681128		
W	50.1270545	8.6682791		
W	50.1267450	8.6685554		
W	50.1264561	8.6688290		
W	50.1270258	8.6658080		
W	50.1270249	8.6657979		
W	50.1269609	8.6655390		
W	50.1268762	8.6653231		
W	50.1267709	8.6651447		
W	50.1266415	8.6650147		
W	50.1265512	8.6649248		
W	50.1264506	8.6648779		
W	50.1263354	8.6656718		
W	50.1263130	8.6660399		
W	50.1263423	8.6664134		
W	50.1264420	8.6671551		
W	50.1265521	8.6678699		
W	50.1266398	8.6682085		
W	50.1267481	8.6685364		
W	50.1269285	8.6689751		
W	50.1270849	8.6694299		
W	50.1271122	8.6695404		
W	50.1271253	8.6696753		
W	50.1271279	8.6699475		
W	50.1270771	8.6703016		
W	50.1269955	8.6706127		
W	50.1269465	8.6707938		
